country,Code,Year,Electric cars sold,Region,CO2 emissions from fuel combustion (MtCO2),Average CO2 emission factor (tCO2/toe),CO2 intensity at constant purchasing power parities (kCO2/$15p),Total energy production (Mtoe),Total energy consumption (Mtoe),Share of renewables in electricity production (%),Share of electricity in total final energy consumption (%),Oil products domestic consumption (Mt),Refined oil products production (Mt),Natural gas production (bcm),Natural gas domestic consumption (bcm),Energy intensity of GDP at constant purchasing power parities (koe/$15p),Electricity production (TWh),Electricity domestic consumption (TWh),Coal and lignite domestic consumption (Mt),Share of wind and solar in electricity production (%),Crude oil production (Mt),Coal and lignite production (Mt),Total energy consumption (EJ),Carbon Intensity (MtCO2 per EJ),Clean electricity share (%)
Australia,AUS,2012,250,Asia & Pacific,388.0039573,3.089401631,0.378422808,320.9505941,125.5919442,10.52958781,22.55320513,46.122,32.887,54.01700768,33.86396016,0.122490648,250.931,222.051,126.977,3.704604055,21.801,434.7,5.2582835197656,73.78909026900402,14.234191865
Australia,AUS,2013,290,Asia & Pacific,385.0416842,3.020200041,0.366071201,346.4443471,127.4888017,13.17640454,22.08553675,47.558,32.894,62.97496647,36.00199097,0.121207601,249.37,221.831,116.078,4.585956611,19.14,458.43,5.3377011495756,72.13623869343353,17.762361151
Australia,AUS,2014,1320,Asia & Pacific,375.331217,2.958720343,0.348023322,368.1846113,126.8559287,14.6271383,21.8664777,47.171,30.865,64.76798304,36.73004366,0.117626299,247.451,221.331,111.004,5.763969432,18.307,488.794,5.311204022811601,70.66782134294859,20.391107732000002
Australia,AUS,2015,1760,Asia & Pacific,380.822048,3.006401071,0.345538248,383.0184101,126.6704073,13.34208381,22.33875534,46.406,27.497,68.05597188,37.13402111,0.114934182,251.415,225.318,115.97,6.559274506,17.241,512.431,5.3034366128364,71.80665591029428,19.901358316
Australia,AUS,2016,1370,Asia & Pacific,390.7092137,3.0880179,0.344951918,387.1614962,126.524271,14.59602515,22.19368338,46.644,23.517,81.38499458,38.13496735,0.11170658,256.563,226.384,118.357,7.174845944,16.8,500.343,5.297318178228,73.75604042547728,21.770871094
Australia,AUS,2017,2300,Asia & Pacific,393.51012,3.083428133,0.33938936,405.6019214,127.62098,15.67893527,21.98724039,47.361239,22.670871,103.6130994,39.17405104,0.110068841,258.019,229.874,113.993,8.010507753,14.529712,499.467,5.343235190640001,73.6464156938722,23.689443023000003
Australia,AUS,2018,3600,Asia & Pacific,392.1192401,3.062758757,0.328529897,411.5424217,128.0281182,17.10051418,21.91466055,48.433927,22.962196,117.9458881,40.47196868,0.107266005,260.998,233.553,105.21,9.61424992,13.07153,485.09,5.3602812527976,73.15273613587867,26.714764100000004
Australia,AUS,2019,9200,Asia & Pacific,387.3162983,3.010423943,0.318639684,448.7037071,128.6583902,19.70336856,21.9632096,48.40408156,23.32946941,142.3954519,41.38212522,0.105845452,263.9679798,236.0824241,102.6313922,12.32986615,15.4634678,503.184,5.386669480893601,71.90274058466042,32.03323471
Australia,AUS,2020,6900,Asia & Pacific,371.7701422,2.948092919,0.313692389,443.4350522,126.1053001,22.97536903,22.01596851,46.51425401,20.99745146,153.6443991,40.05911276,0.106405191,256.5199222,229.3901339,98.81439898,15.25098098,18.23875823,473.2607938,5.2797767045868005,70.41398964411223,38.22635001
Belgium,BEL,2010,56,Europe,114.2312941,1.909489829,0.233862409,15.57240587,59.82293929,8.2467512,16.58904456,21.538,35.094,0.0,23.25280081,0.122473765,95.189,85.918,5.710894757,1.945602958,0.0,0.016,2.50466682219372,45.60738102481438,10.192354158
Belgium,BEL,2011,296,Europe,105.6152739,1.886810369,0.212620237,16.12204517,55.97556363,10.64261256,17.2000966,20.132,32.776,0.0,21.42711294,0.112687655,90.241,83.894,5.372574506,3.857448388,0.0,0.014,2.3435848980608402,45.06569144876705,14.500060948
Belgium,BEL,2012,910,Europe,99.15995112,1.853570595,0.198159795,14.18560109,53.49672214,14.18183134,17.2949427,20.147,34.828,0.0,18.73552379,0.106907067,82.923,84.416,5.10349367,5.907890453,0.0,0.02,2.23980076255752,44.271773086983885,20.089721793000002
Belgium,BEL,2013,560,Europe,100.21459,1.796622656,0.199351891,15.0578262,55.7794313,15.56990226,16.70404676,20.802,32.145,0.0,18.69104126,0.110959243,83.488,84.46,5.445394803,7.569950172,0.0,0.116,2.3353732296684,42.91159491206015,23.139852431999998
Belgium,BEL,2014,1950,Europe,93.48032128,1.776543083,0.183066006,12.71212965,52.6192256,18.49792143,17.05951167,20.75,35.25,0.0,16.50320694,0.103046196,72.646,82.691,5.202691091,10.33642596,0.0,0.126,2.2030617374208,42.432002559057025,28.83434739
Belgium,BEL,2015,3900,Europe,99.540696,1.896659615,0.191050608,10.74605467,52.48210866,22.36018618,16.74213379,21.139,35.203,0.0,18.51517797,0.100730045,69.825,83.162,5.062394716,12.37522377,0.0,0.106,2.1973209253768804,45.300936631697056,34.73540995
Belgium,BEL,2016,9200,Europe,96.33170828,1.732555601,0.182139212,15.40469369,55.60093324,18.02990223,16.69504295,20.798,33.631,0.0,17.68119574,0.105127485,85.813,83.681,4.706761481,9.95653339,0.0,0.107,2.32789987289232,41.38137958670525,27.98643562
Belgium,BEL,2017,14700,Europe,95.82353645,1.732960522,0.177688247,15.13488872,55.29470246,19.58559732,16.92190369,20.148052,35.2832,0.0,18.12290315,0.102534503,86.7755,83.8655,4.566684756,11.33015655,0.0,0.0903,2.31507860259528,41.39105097450196,30.915753870000003
Belgium,BEL,2018,13200,Europe,97.75548553,1.835990945,0.178665053,11.7556753,53.24399108,24.19095381,16.84079798,20.279082,34.0696,0.0,19.22324683,0.0973126,75.0946,84.3841,4.561951183,15.14875903,0.0335,0.1167,2.2292194185374403,43.85189035996107,39.339712840000004
Belgium,BEL,2019,17700,Europe,98.66724914,1.783898436,0.17783466,15.88163022,55.30990283,21.13508346,16.59416344,19.36715534,35.03958861,0.0,19.30607888,0.099688781,93.82395507,83.02553664,4.481862163,14.32536873,0.0335,0.099401703,2.3157150116864402,42.60768213794351,35.46045219
Belgium,BEL,2020,47000,Europe,90.67457273,1.765307071,0.174231256,13.86080896,51.36475927,27.19453327,17.01788894,18.20734434,27.44331138,0.0,19.42619047,0.098697422,91.01072333,81.72211905,3.6123981,19.99747299,0.0335,0.084824619,2.15053974111636,42.1636350151475,47.19200626
